,HIP,Sn,So,Nc,RArad,e_RArad,DErad,e_DErad,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Ntr,F2,F1,var,Hpmag,e_Hpmag,sHp,VA,bv,e_BV,VI,hip2_oid,ic,UW
33,HIP_29655,17,3,2,1.635715055,1.21,0.392818179,0.6,8.52,1.22,-62.36,1.05,-12.09,0.69,69,28.34,0,0.0,3.2945,0.0053,0.076,1,1.6,0.39,2.7,29579,326,"5.50,1.77,10.11,-2.99,0.52,4.02,0.68,0.19,-0.35,4.31,0.57,5.79,-1.54,0.56,6.84"
34,HIP_30122,5,0,1,1.659429026,0.09,-0.524704905,0.1,9.01,0.13,7.32,0.12,4.03,0.13,143,0.12,0,0.0,2.9524,0.0004,0.004,0,-0.16,0.002,-0.2,30046,0,"11.87,1.20,10.38,-0.67,0.00,7.99,0.39,0.61,-0.53,8.61,0.57,0.74,0.55,0.97,7.78"
35,HIP_30324,5,0,1,1.669842841,0.15,-0.313389869,0.15,6.62,0.22,-3.23,0.19,-0.78,0.2,110,6.5,0,0.0,1.8911,0.0013,0.01,1,-0.24,0.006,-0.24,30248,0,"10.47,-0.51,10.69,-0.46,0.27,6.97,2.42,1.71,-0.86,7.82,1.63,3.14,-1.25,-0.30,7.44"
36,HIP_30343,5,0,1,1.67097759,0.59,0.392940813,0.45,14.1,0.71,56.4,0.85,-110.03,0.5,84,19.59,0,0.0,2.9141,0.0085,0.043,2,1.621,0.007,2.3,30267,0,"5.74,2.99,11.73,-2.08,0.63,4.60,1.48,0.94,-1.11,3.65,2.70,7.61,-1.70,-2.15,5.77"
37,HIP_31681,1,2,1,1.735344667,2.12,0.28622377,1.54,29.85,2.23,13.83,2.37,-54.94,1.77,61,0.13,0,7.7,1.929,0.0008,0.004,0,0.001,0.005,0.04,31597,0,"0.54,0.01,0.86,-0.03,0.18,0.46,0.22,0.03,0.04,0.44,0.05,0.46,0.11,-0.15,0.57"
38,HIP_32246,5,0,1,1.762486555,0.17,0.438621408,0.09,3.85,0.17,-5.58,0.24,-12.38,0.13,110,-3.0,0,0.0,3.1915,0.0011,0.007,0,1.377,0.015,1.22,32157,0,"5.03,-3.92,11.74,-1.41,-0.35,4.60,-0.10,-0.52,0.33,4.00,-1.14,5.36,-0.93,-4.07,6.00"
39,HIP_32349,0,4,1,1.767818536,1.21,-0.291699375,1.04,379.21,1.58,-546.01,1.33,-1223.07,1.24,47,0.0,0,0.0,-1.0876,0.0024,0.04,0,0.009,0.007,-0.02,32259,0,"0.83,-0.04,0.96,-0.21,0.32,0.68,0.46,-0.12,0.13,0.90,-0.20,0.62,-0.14,-0.16,1.00"
40,HIP_33579,5,0,1,1.826599534,0.09,-0.505658351,0.11,8.06,0.14,3.24,0.11,1.33,0.16,163,4.7,2,0.0,1.416,0.0005,0.005,0,-0.211,0.006,-0.2,33487,0,"14.76,-0.02,11.69,-0.47,0.32,9.01,1.69,-0.27,0.78,11.73,-0.21,1.60,-0.39,0.62,7.84"
41,HIP_33856,5,0,1,1.84009712,0.11,-0.487554963,0.14,2.9,0.19,-5.98,0.14,4.59,0.18,153,1.55,0,0.0,3.5847,0.0034,0.036,2,1.729,0.014,1.82,33764,0,"10.05,-0.95,8.00,-0.57,0.49,5.79,-1.60,0.06,-0.58,7.72,0.20,-0.40,-0.16,-1.40,6.01"
42,HIP_33977,7,0,1,1.845792842,0.31,-0.415969576,0.37,1.18,0.4,-2.2,0.37,3.61,0.4,173,25.82,0,0.0,3.005,0.0022,0.026,1,-0.077,0.035,-0.03,33883,382,"12.22,-0.03,10.67,0.00,0.22,7.03,1.96,-0.79,0.20,8.74,-0.69,0.96,-0.48,0.06,7.05"
43,HIP_34444,7,0,1,1.869210256,0.2,-0.460648373,0.25,2.02,0.38,-3.12,0.26,3.31,0.34,185,29.83,0,0.0,1.9628,0.0006,0.006,0,0.671,0.019,0.67,34348,390,"15.94,-2.62,11.89,-0.70,0.72,8.18,-3.11,0.52,-1.13,13.04,0.90,0.74,-1.50,-2.54,9.80"
44,HIP_35264,15,3,2,1.907395009,0.23,-0.64747329,0.28,4.04,0.34,-10.05,0.25,6.47,0.35,125,19.7,0,0.0,2.8296,0.0021,0.021,2,1.616,0.015,1.65,35162,0,"10.91,-0.35,9.05,-0.46,-1.29,7.63,0.75,0.26,-2.02,10.01,0.19,0.27,0.79,0.22,7.09"
